,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
67,Egypt,242120,0,14150,0,179261,0,48709,90,2328,136,2715258,26109,103995350,Africa,2021-05-14
68,Guatemala,238787,0,7832,0,218321,0,12634,5,13120,430,1322009,72635,18200794,North America,2021-05-14
69,Uruguay,231901,0,3318,0,201367,0,27216,511,66559,952,1965821,564219,3484143,South America,2021-05-14
70,Honduras,223922,930,5898,45,82187,0,135837,510,22302,587,668892,66621,10040310,North America,2021-05-14
71,Armenia,220447,230,4301,10,207464,712,8682,0,74274,1449,1030335,347144,2968036,Asia,2021-05-14
72,Qatar,212667,244,524,2,205750,590,6393,215,75741,187,1964598,699692,2807805,Asia,2021-05-14
73,Venezuela,211838,0,2352,0,195380,0,14106,316,7468,83,3359014,118416,28366129,South America,2021-05-14
74,Oman,202713,0,2148,0,186391,0,14174,255,38848,412,1550000,297042,5218121,Asia,2021-05-14
75,Bosnia and Herzegovina,202143,140,8981,23,168549,404,24613,0,61948,2752,937964,287444,3263121,Europe,2021-05-14
76,Bahrain,196105,0,715,0,179958,0,15432,166,111921,408,4307946,2458628,1752175,Asia,2021-05-14
77,Libya,181179,0,3085,0,167629,0,10465,0,26062,444,981532,141190,6951847,Africa,2021-05-14
78,Nigeria,165612,0,2066,0,156387,0,7159,11,787,10,1977479,9393,210526787,Africa,2021-05-14
79,Kenya,165112,392,2976,8,113432,184,48704,118,3014,54,1737168,31706,54789380,Africa,2021-05-14
80,North Macedonia,154524,30,5184,16,143427,358,5913,124,74173,2488,749727,359875,2083300,Europe,2021-05-14
81,Myanmar,143035,31,3212,0,132072,3,7751,0,2614,59,2599597,47503,54724978,Asia,2021-05-14
82,Sri Lanka,136685,889,892,0,110108,1306,25685,0,6360,42,3050870,141961,21490889,Asia,2021-05-14
83,Albania,131939,49,2427,1,122105,983,7407,18,45891,844,669140,232738,2875076,Europe,2021-05-14
84,S. Korea,130380,747,1893,2,120395,489,8092,153,2541,37,9281291,180896,51307377,Asia,2021-05-14
85,Latvia,127053,666,2248,8,115670,689,9135,81,68012,1203,2470356,1322397,1868090,Europe,2021-05-14
86,Estonia,126642,279,1217,5,118008,426,7417,36,95413,917,1351340,1018107,1327307,Europe,2021-05-14
87,Algeria,124889,0,3355,0,87003,0,34531,28,2804,75,230861,5184,44532647,Africa,2021-05-14
88,Cuba,121838,1277,785,7,114544,1051,6509,138,10762,69,3946550,348616,11320629,North America,2021-05-14
89,Norway,118538,223,774,0,88952,0,28812,24,21719,142,5423294,993667,5457857,Europe,2021-05-14
90,Kyrgyzstan,99845,200,1687,6,92953,235,5205,85,15089,255,1046855,158209,6616901,Asia,2021-05-14
91,Montenegro,98619,0,1551,0,95544,0,1524,64,157003,2469,390682,621971,628135,Europe,2021-05-14
92,Uzbekistan,96117,291,667,0,91507,206,3943,23,2836,20,1377915,40662,33887260,Asia,2021-05-14
93,Thailand,96050,2256,548,30,62316,1701,33186,1207,1373,8,8124896,116150,69951511,Asia,2021-05-14
94,Ghana,93159,0,783,0,90992,0,1384,7,2945,25,1113553,35205,31630693,Africa,2021-05-14
95,Zambia,92262,0,1260,0,90635,0,367,42,4901,67,1457277,77410,18825532,Africa,2021-05-14
96,Finland,89686,154,931,1,46000,0,42755,28,16165,168,4720329,850790,5548169,Europe,2021-05-14
97,Cameroon,74946,0,1152,0,70497,0,3297,385,2764,42,1518411,56003,27113250,Africa,2021-05-14
98,El Salvador,70915,0,2178,5,66418,0,2319,28,10886,334,946627,145311,6514499,North America,2021-05-14
99,Cyprus,70571,0,342,0,39061,0,31168,54,58085,281,5641097,4643062,1214952,Asia,2021-05-14
100,Mozambique,70315,0,826,0,68314,0,1175,24,2197,26,532010,16622,32006467,Africa,2021-05-14
101,Luxembourg,68922,23,806,0,66183,670,1933,30,108581,1270,2760597,4349109,634750,Europe,2021-05-14
102,Afghanistan,63412,63,2733,3,54634,15,6045,1124,1598,69,428935,10809,39681789,Asia,2021-05-14
103,Singapore,61505,52,31,0,61047,18,427,3,10442,5,10441802,1772776,5890085,Asia,2021-05-14
104,Namibia,50733,0,704,0,47776,0,2253,60,19660,273,406093,157369,2580514,Africa,2021-05-14
105,Botswana,49041,0,751,0,46290,0,2000,1,20498,314,1086267,454036,2392467,Africa,2021-05-14
106,Mongolia,47548,515,200,7,38330,1049,9018,110,14305,60,2815627,847120,3323765,Asia,2021-05-14
107,Jamaica,47020,0,834,0,22761,0,23425,14,15819,281,350044,117767,2972343,North America,2021-05-14
108,Ivory Coast,46520,0,294,0,45977,0,249,0,1727,11,608960,22605,26939174,Africa,2021-05-14
109,Uganda,42578,0,346,0,41971,0,261,24,906,7,1052657,22407,46978304,Africa,2021-05-14
110,Maldives,41308,0,87,0,27428,0,13793,90,75278,159,783134,1427149,548740,Asia,2021-05-14
111,Senegal,40806,16,1122,0,39529,28,155,11,2383,66,495502,28938,17122595,Africa,2021-05-14
112,Madagascar,39888,129,748,3,37431,281,1709,285,1409,26,194669,6878,28302091,Africa,2021-05-14
113,Zimbabwe,38491,0,1582,0,36286,0,623,12,2558,105,441294,29323,15049396,Africa,2021-05-14
114,Sudan,34272,0,2446,0,27949,0,3877,0,766,55,232965,5208,44728855,Africa,2021-05-14
115,Malawi,34200,0,1153,0,32176,0,871,11,1749,59,238017,12172,19554257,Africa,2021-05-14
116,DRC,30478,0,775,0,26601,0,3102,0,332,8,155121,1688,91894622,Africa,2021-05-14
117,Malta,30474,1,417,0,29877,10,180,0,68858,942,893092,2018013,442560,Europe,2021-05-14
118,Australia,29957,2,910,0,28861,0,186,1,1163,35,17449487,677515,25755133,Australia/Oceania,2021-05-14
119,Angola,29695,0,649,0,25629,0,3417,21,880,19,527590,15636,33742111,Africa,2021-05-14
120,Cabo Verde,27386,0,243,0,24289,0,2854,23,48799,433,158645,282690,561198,Africa,2021-05-14
121,Rwanda,25934,0,342,0,24486,0,1106,1,1961,26,1358566,102704,13227916,Africa,2021-05-14
122,Gabon,23734,0,143,0,20270,0,3321,18,10452,63,763003,335999,2270850,Africa,2021-05-14
123,Syria,23595,0,1682,0,19908,0,2005,0,1321,94,103566,5797,17865780,Asia,2021-05-14
124,Guinea,22719,0,151,0,20341,0,2227,24,1691,11,444435,33072,13438415,Africa,2021-05-14
125,Réunion,22644,0,169,0,21603,0,872,36,25137,188,102720,114028,900832,Africa,2021-05-14
126,Cambodia,21499,358,147,5,9867,348,11485,0,1271,9,1029636,60859,16918431,Asia,2021-05-14
127,French Guiana,21433,0,108,0,9995,0,11330,24,70197,354,234279,767305,305327,South America,2021-05-14
128,Mayotte,20176,0,171,0,2964,0,17041,6,72453,614,176919,635327,278469,Africa,2021-05-14
129,French Polynesia,18797,0,141,0,18617,0,39,1,66582,499,26355,93354,282312,Australia/Oceania,2021-05-14
130,Mauritania,18767,0,457,0,17999,0,311,14,3947,96,247170,51986,4754546,Africa,2021-05-14
131,Eswatini,18497,0,671,0,17786,0,40,3,15802,573,196068,167503,1170532,Africa,2021-05-14
132,Guadeloupe,16017,0,221,0,2242,0,13554,33,40024,552,195404,488287,400183,North America,2021-05-14
133,Guyana,14845,0,333,0,12693,0,1819,12,18795,422,133695,169270,789833,South America,2021-05-14
134,Trinidad and Tobago,14814,0,256,0,9744,0,4814,15,10556,182,149880,106797,1403408,North America,2021-05-14
135,Somalia,14486,0,753,0,6325,0,7408,0,890,46,120132,7382,16273534,Africa,2021-05-14
136,Mali,14149,0,508,0,9123,0,4518,0,682,24,280531,13519,20750949,Africa,2021-05-14
137,Papua New Guinea,13707,284,136,3,11034,39,2537,0,1507,15,110286,12129,9092865,Australia/Oceania,2021-05-14
138,Andorra,13470,0,127,0,13104,0,239,12,174094,1641,193595,2502133,77372,Europe,2021-05-14
139,Burkina Faso,13387,0,164,0,13184,0,39,0,626,8,182822,8545,21394982,Africa,2021-05-14
140,Haiti,13268,0,269,0,12397,0,602,0,1151,23,60085,5215,11522424,North America,2021-05-14
141,Togo,13238,0,125,0,11834,0,1279,0,1567,15,320905,37998,8445417,Africa,2021-05-14
142,Belize,12709,0,323,0,12331,0,55,1,31470,800,123837,306648,403841,North America,2021-05-14
143,Curaçao,12244,0,118,0,12052,0,74,23,74353,717,102474,622288,164673,North America,2021-05-14
144,Hong Kong,11819,1,210,0,11516,5,93,2,1566,28,14841321,1965864,7549514,Asia,2021-05-14
145,Martinique,11736,0,90,0,98,0,11548,24,31295,240,170302,454123,375013,North America,2021-05-14
146,Suriname,11572,0,221,0,10034,0,1317,27,19575,374,54694,92518,591171,South America,2021-05-14
147,Djibouti,11389,0,151,0,11221,0,17,0,11385,151,152966,152907,1000383,Africa,2021-05-14
148,Congo,11343,0,148,0,8208,0,2987,0,2013,26,141948,25192,5634723,Africa,2021-05-14
149,Bahamas,11024,0,216,0,9967,0,841,5,27804,545,91550,230902,396488,North America,2021-05-14
150,Aruba,10826,0,104,0,10628,0,94,14,101028,971,156035,1456121,107158,North America,2021-05-14
151,Lesotho,10778,0,320,0,6427,0,4031,0,4997,148,86427,40070,2156917,Africa,2021-05-14
152,South Sudan,10641,0,115,0,10462,0,64,0,941,10,156542,13845,11306940,Africa,2021-05-14
153,Seychelles,9184,0,32,0,6413,0,2739,0,92887,324,21504,217491,98873,Africa,2021-05-14
154,Benin,7995,0,101,0,7652,0,242,35,645,8,595112,48009,12395725,Africa,2021-05-14
155,Equatorial Guinea,7694,0,112,0,7279,0,303,7,5334,78,123169,85389,1442446,Africa,2021-05-14
156,Nicaragua,7086,0,184,0,4225,0,2677,0,1059,27,0,0,6692543,North America,2021-05-14
157,CAR,6866,0,95,0,5112,0,1659,2,1401,19,40907,8345,4902067,Africa,2021-05-14
158,Iceland,6526,0,29,0,6422,0,75,3,19018,85,622370,1813660,343157,Europe,2021-05-14
159,Yemen,6507,0,1278,0,3003,0,2226,23,214,42,34842,1146,30390601,Asia,2021-05-14
160,Gambia,5934,0,175,0,5648,0,111,3,2398,71,76379,30861,2474896,Africa,2021-05-14
161,Niger,5326,0,192,0,4936,0,198,2,213,8,101658,4074,24955877,Africa,2021-05-14
162,San Marino,5083,0,90,0,4968,0,25,4,149531,2648,63241,1860412,33993,Europe,2021-05-14
163,Chad,4895,0,172,0,4672,0,51,0,291,10,116167,6902,16830013,Africa,2021-05-14
164,Saint Lucia,4725,0,75,0,4502,0,148,2,25630,407,42643,231312,184353,North America,2021-05-14
165,Gibraltar,4286,0,94,0,4189,0,3,0,127249,2791,242473,7198890,33682,Europe,2021-05-14
166,Burundi,4261,0,6,0,773,0,3482,0,349,5,279132,22890,12194320,Africa,2021-05-14
167,Sierra Leone,4096,0,79,0,3098,0,919,0,505,10,153257,18882,8116504,Africa,2021-05-14
168,Channel Islands,4057,0,86,0,3956,0,15,0,23150,491,454413,2592986,175247,Europe,2021-05-14
169,Barbados,3959,0,46,0,3908,0,5,0,13762,160,161164,560220,287680,North America,2021-05-14
170,Timor-Leste,3879,0,8,0,2142,82,1729,0,2895,6,84361,62953,1340053,Asia,2021-05-14
171,Comoros,3860,0,146,0,3688,0,26,0,4359,165,0,0,885528,Africa,2021-05-14
172,Eritrea,3822,0,12,0,3639,0,171,0,1065,3,23693,6602,3588734,Africa,2021-05-14
173,Vietnam,3816,106,35,0,2657,0,1124,0,39,4,3091540,31516,98094805,Asia,2021-05-14
174,Guinea-Bissau,3743,0,67,0,3418,0,258,9,1864,33,65224,32483,2007958,Africa,2021-05-14
175,Liechtenstein,2981,1,58,0,2887,0,36,3,77990,1517,39109,1023180,38223,Europe,2021-05-14
176,New Zealand,2645,1,26,0,2601,1,18,0,529,5,2069812,413789,5002100,Australia/Oceania,2021-05-14
177,Monaco,2490,0,32,0,2428,0,30,1,63067,810,51953,1315865,39482,Europe,2021-05-14
178,Bermuda,2462,1,32,1,2234,12,196,7,39659,515,252609,4069154,62079,North America,2021-05-14
179,Turks and Caicos,2404,0,17,0,2365,0,22,2,61375,434,65926,1683117,39169,North America,2021-05-14
180,Sao Tome and Principe,2320,0,35,0,2270,0,15,0,10419,157,12999,58380,222662,Africa,2021-05-14
181,Sint Maarten,2272,0,27,0,2213,0,32,2,52476,624,26880,620843,43296,North America,2021-05-14
182,Liberia,2114,0,85,0,1962,0,67,2,410,16,97875,18969,5159805,Africa,2021-05-14
183,St. Vincent Grenadines,1932,4,12,0,1769,5,151,2,17367,108,46829,420954,111245,North America,2021-05-14
184,Saint Martin,1773,0,12,0,1399,0,362,7,45190,306,27588,703166,39234,North America,2021-05-14
185,Isle of Man,1590,0,29,0,1555,0,6,1,18613,339,44761,523999,85422,Europe,2021-05-14
186,Caribbean Netherlands,1590,0,17,0,1558,0,15,0,60152,643,10040,379828,26433,North America,2021-05-14
187,Laos,1498,16,2,1,513,82,983,0,203,3,213373,28965,7366551,Asia,2021-05-14
188,Taiwan,1290,34,12,0,1107,5,171,0,54,5,571259,23948,23854078,Asia,2021-05-14
189,Mauritius,1277,2,17,0,1130,0,130,0,1003,13,358675,281624,1273594,Africa,2021-05-14
190,Bhutan,1276,13,1,0,1121,0,154,0,1638,1,738413,947973,778939,Asia,2021-05-14
191,Antigua and Barbuda,1240,0,32,0,1179,0,29,4,12572,324,16700,169321,98629,North America,2021-05-14
192,St. Barth,974,0,1,0,462,0,511,0,98354,101,26385,2664344,9903,North America,2021-05-14
193,Faeroe Islands,669,0,1,0,663,0,5,0,13646,20,259009,5283310,49024,Europe,2021-05-14
194,Cayman Islands,561,0,2,0,546,0,13,0,8450,30,93352,1406158,66388,North America,2021-05-14
195,Tanzania,509,0,21,0,183,0,305,7,8,3,0,0,61193226,Africa,2021-05-14
196,Wallis and Futuna,445,0,7,0,44,0,394,1,40206,632,17264,1559812,11068,Australia/Oceania,2021-05-14
197,Brunei ,232,0,3,0,220,0,9,0,526,7,123068,279006,441095,Asia,2021-05-14
198,British Virgin Islands,219,0,1,0,193,0,25,0,7203,33,39777,1308239,30405,North America,2021-05-14
199,Dominica,178,0,0,0,176,0,2,0,2467,0,15844,219625,72141,North America,2021-05-14
200,Fiji,165,0,4,0,109,0,52,0,183,4,70792,78478,902057,Australia/Oceania,2021-05-14
201,New Caledonia,124,0,0,0,58,0,66,0,431,0,31166,108265,287867,Australia/Oceania,2021-05-14
202,Anguilla,109,0,0,0,89,0,20,0,7209,0,21630,1430650,15119,North America,2021-05-14
203,Saint Kitts and Nevis,45,0,0,0,44,0,1,0,841,0,13691,255792,53524,North America,2021-05-14
204,Vatican City,27,0,0,0,15,0,12,0,33624,0,0,0,803,Europe,2021-05-14
205,Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,609951,Africa,2021-05-14
206,Samoa,3,0,0,0,2,0,1,0,15,0,0,0,199553,Australia/Oceania,2021-05-14
207,China,90815,7,4636,0,85894,13,285,1,63,3,160000000,111163,1439323776,Asia,2021-05-14
208,Tajikistan,13308,0,90,0,13218,0,0,0,1369,9,0,0,9721751,Asia,2021-05-14
209,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,Ship,2021-05-14
210,Grenada,161,0,1,0,160,0,0,0,1425,9,28684,253899,112974,North America,2021-05-14
211,Montserrat,20,0,1,0,19,0,0,0,4004,200,1313,262863,4995,North America,2021-05-14
212,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,Ship,2021-05-14
213,Vanuatu,4,0,1,0,3,0,0,0,13,3,23000,73409,313311,Australia/Oceania,2021-05-14
214,Falkland Islands,63,0,0,0,63,0,0,0,17662,0,7258,2034763,3567,South America,2021-05-14
215,Macao,49,0,0,0,49,0,0,0,75,0,4483,6824,656966,Asia,2021-05-14
216,Greenland,31,0,0,0,31,0,0,0,545,0,20669,363539,56855,North America,2021-05-14
217,Saint Pierre Miquelon,25,0,0,0,25,0,0,0,4334,0,5318,921824,5769,North America,2021-05-14
218,Solomon Islands,20,0,0,0,20,0,0,0,29,0,4500,6416,701349,Australia/Oceania,2021-05-14
219,Marshall Islands,4,0,0,0,4,0,0,0,67,0,0,0,59535,Australia/Oceania,2021-05-14
220,Saint Helena,2,0,0,0,2,0,0,0,328,0,0,0,6093,Africa,2021-05-14
221,Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,116064,Australia/Oceania,2021-05-14
0,USA,33671081,2150,599341,27,26713260,439,6358480,8343,101210,1802,464116423,1395060,332685557,North America,2021-05-15
1,India,24608001,235758,268521,2292,20679456,253133,3660024,8944,17681,193,313017193,224909,1391753322,Asia,2021-05-15
2,Brazil,15521313,0,432785,0,14028355,0,1060173,8318,72574,2024,46970130,219621,213868974,South America,2021-05-15
3,France,5848154,0,107423,0,5042411,0,698320,4352,89423,1643,80698552,1233944,65398877,Europe,2021-05-15
4,Turkey,5095390,0,44301,0,4894024,0,157065,2670,59858,520,50463016,592813,85124706,Asia,2021-05-15
5,Russia,4931691,8790,115480,364,4547500,9866,268711,2300,33781,791,133100000,911714,145988804,Europe,2021-05-15
6,UK,4448851,2027,127675,7,4275502,2061,45674,129,65237,1872,169007195,2478284,68195259,Europe,2021-05-15
7,Italy,4153374,6659,124063,136,3696481,13292,332830,1805,68782,2055,62700094,1038346,60384578,Europe,2021-05-15
8,Spain,3604799,0,79339,0,3297340,0,228120,1899,77074,1696,47213067,1009462,46770505,Europe,2021-05-15
9,Germany,3589825,3934,86564,83,3275500,16500,227761,4376,42728,1030,58093759,691457,84016407,Europe,2021-05-15
10,Argentina,3269466,0,69853,0,2913144,0,286469,5457,71770,1533,12224943,268356,45554984,South America,2021-05-15
11,Colombia,3084460,0,80250,0,2888990,0,115220,6582,60065,1563,15783446,307356,51352407,South America,2021-05-15
12,Poland,2851911,2896,71609,298,2595635,6358,184667,1627,75426,1894,15135124,400288,37810599,Europe,2021-05-15
13,Iran,2739875,7723,76633,200,2210851,14654,452391,5396,32263,902,17882461,210573,84922994,Asia,2021-05-15
14,Mexico,2377995,2880,220159,258,1897587,2104,260249,4798,18277,1692,6829477,52492,130105532,North America,2021-05-15
15,Ukraine,2150244,6796,47942,322,1849803,17202,252499,177,49425,1102,9824399,225821,43505197,Europe,2021-05-15
16,Peru,1879049,0,65608,0,1720665,0,92776,2685,56311,1966,11972376,358787,33369044,South America,2021-05-15
17,Indonesia,1736670,2385,47967,144,1597067,4181,91636,0,6292,174,15481111,56085,276027635,Asia,2021-05-15
18,Czechia,1652238,1050,29886,7,1592219,83,30133,293,154037,2786,21214900,1977853,10726227,Europe,2021-05-15
19,South Africa,1608393,0,55124,0,1522165,0,31104,546,26826,919,11052993,184353,59955627,Africa,2021-05-15
20,Netherlands,1593728,4446,17436,13,1360722,8724,215570,704,92833,1016,13171698,767234,17167780,Europe,2021-05-15
21,Canada,1320868,2463,24893,24,1223096,2986,72879,1327,34733,655,33260624,874616,38028810,North America,2021-05-15
22,Chile,1280252,6736,27734,87,1214817,6421,37701,2953,66478,1440,13881510,720805,19258354,South America,2021-05-15
23,Philippines,1138187,6739,19051,93,1062427,8952,56709,1819,10268,172,12570563,113409,110842608,Asia,2021-05-15
24,Iraq,1136917,2058,15930,20,1039616,5220,81371,465,27729,389,9855685,240379,41000676,Asia,2021-05-15
25,Romania,1071334,729,29485,72,1023822,1793,18027,784,56014,1542,8659474,452758,19126034,Europe,2021-05-15
26,Sweden,1037126,0,14275,0,878153,0,144698,341,102141,1406,8798383,866506,10153859,Europe,2021-05-15
27,Belgium,1028104,1631,24664,19,905973,0,97467,644,88375,2120,13210753,1135591,11633375,Europe,2021-05-15
28,Pakistan,874751,1531,19467,83,783480,3042,71804,4387,3895,87,12410924,55259,224594312,Asia,2021-05-15
29,Portugal,841848,469,17006,7,802671,386,22171,71,82771,1672,11091313,1090498,10170866,Europe,2021-05-15
30,Israel,839079,0,6380,0,831950,0,749,73,91228,694,14487253,1575114,9197590,Asia,2021-05-15
31,Hungary,797429,1039,29114,73,618608,9717,149707,308,82729,3020,5622836,583340,9639032,Europe,2021-05-15
32,Bangladesh,779796,261,12124,22,721435,964,46237,1149,4694,73,5702286,34328,166110142,Asia,2021-05-15
33,Jordan,723345,276,9243,19,710445,0,3657,729,70290,898,6921815,672619,10290844,Asia,2021-05-15
34,Serbia,705890,705,6664,18,675008,1970,24218,97,81074,765,4001180,459548,8706771,Europe,2021-05-15
35,Switzerland,679510,0,10730,0,617283,0,51497,179,78020,1232,7273942,835176,8709474,Europe,2021-05-15
36,Japan,671841,6272,11365,110,584770,5324,75706,1231,5326,90,13015244,103181,126139908,Asia,2021-05-15
37,Austria,636424,644,10470,15,614803,2280,11151,321,70316,1157,36217595,4001521,9050956,Europe,2021-05-15
38,UAE,544931,1321,1629,3,525080,1302,18222,0,54527,163,46815989,4684501,9993805,Asia,2021-05-15
39,Lebanon,534968,0,7569,0,492270,0,35129,333,78685,1113,4163257,612346,6798866,Asia,2021-05-15
40,Morocco,514705,0,9092,0,502604,0,3009,94,13803,244,6370615,170844,37289158,Africa,2021-05-15
41,Malaysia,466330,4140,1866,44,422329,3432,42135,503,14250,57,10445009,319178,32724742,Asia,2021-05-15
42,Nepal,447704,8046,4856,187,333108,5455,109740,0,15131,164,2751481,92989,29589353,Asia,2021-05-15
43,Saudi Arabia,432269,837,7147,13,416759,1012,8363,1331,12252,203,17916457,507801,35282461,Asia,2021-05-15
44,Bulgaria,413838,0,17243,0,361993,0,34602,504,59951,2498,2656622,384855,6902925,Europe,2021-05-15
45,Ecuador,407002,0,19514,0,342878,0,44610,572,22770,1092,1359491,76057,17874632,South America,2021-05-15
46,Slovakia,387420,258,12203,35,370552,476,4665,204,70931,2234,2759676,505256,5461938,Europe,2021-05-15
47,Greece,375831,1950,11365,43,335156,0,29310,661,36211,1095,8832737,851038,10378778,Europe,2021-05-15
48,Belarus,374714,1363,2691,10,365255,1382,6768,0,39666,285,6070189,642578,9446623,Europe,2021-05-15
49,Panama,370043,0,6292,0,358670,0,5081,105,84611,1439,2507280,573293,4373467,North America,2021-05-15
50,Kazakhstan,355645,2505,4039,22,312837,2669,38769,221,18747,213,10749824,566643,18971060,Asia,2021-05-15
51,Croatia,349910,826,7687,23,335337,1131,6886,185,85694,1883,1920316,470292,4083243,Europe,2021-05-15
52,Bolivia,329733,2509,13451,42,269288,1315,46994,200,27918,1139,1299971,110067,11810731,South America,2021-05-15
53,Georgia,329407,1576,4426,29,307918,584,17063,0,82713,1111,4555909,1143978,3982513,Asia,2021-05-15
54,Azerbaijan,329371,377,4768,14,313778,1318,10825,0,32233,467,3375679,330355,10218336,Asia,2021-05-15
55,Tunisia,325280,0,11727,0,286230,0,27323,445,27276,983,1380132,115728,11925686,Africa,2021-05-15
56,Paraguay,309638,0,7482,0,256345,0,45811,590,42955,1038,1182111,163992,7208345,South America,2021-05-15
57,Palestine,303270,0,3401,0,288891,0,10978,78,58281,654,1784690,342970,5203627,Asia,2021-05-15
58,Kuwait,290006,0,1681,0,275745,0,12580,190,67051,389,2446116,565554,4325171,Asia,2021-05-15
59,Costa Rica,282741,0,3547,0,221903,0,57291,489,55068,691,1093074,212892,5134409,North America,2021-05-15
60,Dominican Republic,275378,0,3565,0,232925,0,38888,275,25167,326,1468228,134181,10942105,North America,2021-05-15
61,Denmark,265539,1074,2502,3,250257,770,12780,33,45705,431,46271866,7964314,5809900,Europe,2021-05-15
62,Ethiopia,265413,0,3964,0,217370,0,44079,620,2260,34,2644565,22523,117416656,Africa,2021-05-15
63,Lithuania,264724,1141,4088,2,239702,2271,20934,169,98440,1520,3093727,1150435,2689180,Europe,2021-05-15
64,Ireland,254870,0,4941,0,237164,0,12765,39,51122,991,4729538,948653,4985528,Europe,2021-05-15
65,Moldova,253736,169,6016,10,244664,177,3056,148,63027,1494,1045418,259679,4025815,Europe,2021-05-15
66,Slovenia,249014,494,4320,6,237061,1012,7633,121,119765,2078,1228272,590747,2079186,Europe,2021-05-15
67,Egypt,243317,0,14206,0,179817,0,49294,90,2340,137,2715258,26108,104000632,Africa,2021-05-15
68,Guatemala,240170,0,7845,0,219456,0,12869,5,13195,431,1336353,73419,18201700,North America,2021-05-15
69,Uruguay,235206,0,3369,0,204051,0,27786,515,67507,967,1980797,568512,3484175,South America,2021-05-15
70,Honduras,225256,1334,5937,39,82549,362,136770,536,22434,591,673368,67064,10040740,North America,2021-05-15
71,Armenia,220729,282,4314,13,208100,636,8315,0,74368,1453,1033513,348213,2968051,Asia,2021-05-15
72,Venezuela,212998,0,2366,0,196759,0,13873,316,7509,83,3359014,118417,28365910,South America,2021-05-15
73,Qatar,212927,260,526,2,206307,557,6094,208,75834,187,1967354,700673,2807805,Asia,2021-05-15
74,Oman,202713,0,2148,0,186391,0,14174,255,38845,412,1550000,297022,5218477,Asia,2021-05-15
75,Bosnia and Herzegovina,202143,0,8981,0,168549,0,24613,0,61949,2752,937964,287449,3263066,Europe,2021-05-15
76,Bahrain,197474,0,732,0,181237,0,15505,163,112692,418,4322199,2466533,1752338,Asia,2021-05-15
77,Libya,181179,0,3085,0,167629,0,10465,0,26061,444,981532,141185,6952103,Africa,2021-05-15
78,Nigeria,165661,0,2066,0,156399,0,7196,11,787,10,1977479,9392,210540789,Africa,2021-05-15
79,Kenya,165379,267,3001,25,113489,57,48889,117,3018,55,1741604,31785,54792624,Africa,2021-05-15
80,North Macedonia,154636,112,5197,13,145606,2179,3833,111,74226,2495,753923,361889,2083300,Europe,2021-05-15
81,Myanmar,143059,24,3212,0,132100,28,7747,0,2614,59,2600857,47525,54725973,Asia,2021-05-15
82,Sri Lanka,138085,0,921,0,110108,0,27056,0,6425,43,3075321,143097,21491133,Asia,2021-05-15
83,Albania,131939,0,2427,0,122105,0,7407,18,45891,844,669140,232739,2875067,Europe,2021-05-15
84,S. Korea,131061,681,1896,3,121282,887,7883,150,2554,37,9319094,181632,51307497,Asia,2021-05-15
85,Latvia,127597,544,2257,9,116427,757,8913,78,68306,1208,2484916,1330231,1868034,Europe,2021-05-15
86,Estonia,126922,281,1220,3,118553,545,7149,36,95623,919,1356381,1021902,1327310,Europe,2021-05-15
87,Algeria,125059,0,3360,0,87137,0,34562,28,2808,75,230861,5184,44534813,Africa,2021-05-15
88,Cuba,123221,1383,796,11,115505,961,6920,126,10885,70,3970083,350695,11320611,North America,2021-05-15
89,Norway,118927,187,774,0,88952,0,29201,24,21790,142,5423294,993646,5457973,Europe,2021-05-15
90,Kyrgyzstan,100249,404,1695,8,93302,349,5252,85,15150,256,1051972,158976,6617195,Asia,2021-05-15
91,Thailand,99145,3095,565,17,63667,1351,34913,1234,1417,8,8124896,116150,69951988,Asia,2021-05-15
92,Montenegro,98778,75,1560,4,95801,125,1417,60,157256,2484,393555,626545,628135,Europe,2021-05-15
93,Uzbekistan,96368,251,667,0,91831,324,3870,23,2844,20,1377915,40660,33888586,Asia,2021-05-15
94,Ghana,93243,0,783,0,91146,0,1314,7,2948,25,1118523,35360,31632469,Africa,2021-05-15
95,Zambia,92409,53,1260,0,90777,78,372,39,4908,67,1468388,77994,18826944,Africa,2021-05-15
96,Finland,89878,192,931,0,46000,0,42947,28,16200,168,4760359,858002,5548192,Europe,2021-05-15
97,Cameroon,74946,0,1152,0,70497,0,3297,385,2764,42,1518411,55999,27115061,Africa,2021-05-15
98,El Salvador,70915,0,2182,4,66418,0,2315,28,10886,335,946627,145309,6514588,North America,2021-05-15
99,Cyprus,70742,0,346,0,39061,0,31335,51,58225,285,5733920,4719369,1214976,Asia,2021-05-15
100,Mozambique,70361,0,826,0,68487,0,1048,24,2198,26,534044,16684,32008868,Africa,2021-05-15
101,Luxembourg,68922,0,806,0,66183,0,1933,30,108577,1270,2760597,4348917,634778,Europe,2021-05-15
102,Afghanistan,63484,72,2742,9,54663,29,6079,1124,1600,69,429452,10822,39684190,Asia,2021-05-15
